comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)

0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000574;NA;.000114;.000155;.000282;.000833;5;813
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000344;NA;.000115;.000147;.000204;.000833;5;850
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000379;NA;.000110;.000163;.000285;.000833;5;791
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000309;NA;.000117;.000163;.000216;.000416;5;973
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000324;NA;.000127;.000123;.000216;.000833;5;980
0.01;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000352;NA;.000142;.000166;.000222;.000833;5;927
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000313;NA;.000135;.000155;.000251;.000833;5;1075
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000321;NA;.000111;.000124;.000217;.000833;5;890
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000365;NA;.000109;.000121;.000197;.000416;5;957
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000373;NA;.000118;.000138;.000250;.000833;5;910
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000345;NA;.000104;.000122;.000155;.000416;5;863
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000387;NA;.000137;.000182;.000252;.000833;5;833
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000990;NA;.000113;.000212;.000293;.001250;5;559
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000565;NA;.000107;.000158;.000286;.000833;5;640
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000378;NA;.000109;.000174;.000355;.000833;5;765
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.001011;NA;.000104;.000155;.000254;.001250;5;502
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000574;NA;.000117;.000172;.000355;.000833;5;683
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000412;NA;.000132;.000296;.000470;.000833;5;773
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000546;NA;.000132;.000168;.000257;.000833;5;730
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000740;NA;.000128;.000179;.000371;.000833;5;725
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000377;NA;.000146;.000201;.000253;.000833;5;869
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000442;NA;.000100;.000162;.000314;.000833;5;790
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000380;NA;.000144;.000212;.000316;.000833;5;832
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000400;NA;.000142;.000157;.000282;.000833;5;971
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000997;NA;.000107;.000186;.000332;.001250;5;440
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000596;NA;.000113;.000174;.000343;.000833;5;741
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000341;NA;.000109;.000176;.000242;.000833;5;855
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000379;NA;.000109;.000173;.000219;.000833;5;823
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000583;NA;.000108;.000189;.000361;.000833;5;680
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000358;NA;.000134;.000156;.000232;.000833;5;845
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000357;NA;.000105;.000267;.000404;.000833;5;795
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000626;NA;.000096;.000361;.000531;.000833;5;606
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000330;NA;.000102;.000297;.000390;.000833;5;628
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000380;NA;.000100;.000337;.000437;.000833;5;691
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000389;NA;.000102;.000339;.000400;.000833;5;725
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000420;NA;.000103;.000351;.000470;.000833;5;672
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000342;NA;.000098;.000326;.000425;.000833;5;660
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000386;NA;.000109;.000361;.000462;.000833;10;700
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000429;NA;.000103;.000326;.000404;.000833;5;737
0.02;3;1;0;4;512;507;1;0;5;10000;10000;0;100;1;0;1;0;1;.000401;NA;.000130;.000315;.000378;.000833;5;780
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000319;NA;.000070;.000068;.000122;.000416;5;823
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000314;NA;.000087;.000090;.000118;.000416;5;872
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000358;NA;.000079;.000072;.000101;.000416;5;894
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.001023;NA;.000084;.000125;.000249;.001250;5;478
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000328;NA;.000076;.000087;.000143;.000833;5;785
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000597;NA;.000116;.000196;.000345;.000833;5;670
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000357;NA;.000081;.000102;.000183;.000416;6;773
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000362;NA;.000074;.000074;.000117;.000416;5;857
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000340;NA;.000079;.000107;.000235;.000416;5;752
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000582;NA;.000075;.000109;.000248;.000833;5;678
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000381;NA;.000100;.000109;.000154;.000416;5;1010
0.02;3;1;0;4;512;508;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000360;NA;.000078;.000151;.000233;.000833;6;704
